"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"02.01.2022 00:30 - 02.01.2022 00:45","11219","10312"
"02.01.2022 00:45 - 02.01.2022 01:00","11068","10209"
"02.01.2022 01:00 - 02.01.2022 01:15","10969","10126"
"02.01.2022 01:15 - 02.01.2022 01:30","10831","10043"
"02.01.2022 01:30 - 02.01.2022 01:45","10747","9942"
"02.01.2022 01:45 - 02.01.2022 02:00","10654","9815"
"02.01.2022 02:00 - 02.01.2022 02:15","10620","9762"
"02.01.2022 02:15 - 02.01.2022 02:30","10575","9694"
"02.01.2022 02:30 - 02.01.2022 02:45","10502","9677"
"02.01.2022 02:45 - 02.01.2022 03:00","10448","9671"
"02.01.2022 03:00 - 02.01.2022 03:15","10444","9645"
"02.01.2022 03:15 - 02.01.2022 03:30","10384","9603"
"02.01.2022 03:30 - 02.01.2022 03:45","10345","9565"
"02.01.2022 03:45 - 02.01.2022 04:00","10356","9527"
"02.01.2022 04:00 - 02.01.2022 04:15","10357","9541"
"02.01.2022 04:15 - 02.01.2022 04:30","10374","9544"
"02.01.2022 04:30 - 02.01.2022 04:45","10372","9543"
"02.01.2022 04:45 - 02.01.2022 05:00","10375","9611"
"02.01.2022 05:00 - 02.01.2022 05:15","10426","9585"
"02.01.2022 05:15 - 02.01.2022 05:30","10499","9652"
"02.01.2022 05:30 - 02.01.2022 05:45","10529","9716"
"02.01.2022 05:45 - 02.01.2022 06:00","10556","9751"
"02.01.2022 06:00 - 02.01.2022 06:15","10650","9860"
"02.01.2022 06:15 - 02.01.2022 06:30","10702","9922"
"02.01.2022 06:30 - 02.01.2022 06:45","10771","10038"
"02.01.2022 06:45 - 02.01.2022 07:00","10817","10086"
"02.01.2022 07:00 - 02.01.2022 07:15","10978","10218"
"02.01.2022 07:15 - 02.01.2022 07:30","11089","10293"
"02.01.2022 07:30 - 02.01.2022 07:45","11230","10499"
"02.01.2022 07:45 - 02.01.2022 08:00","11385","10629"
"02.01.2022 08:00 - 02.01.2022 08:15","11618","10816"
"02.01.2022 08:15 - 02.01.2022 08:30","11853","10963"
"02.01.2022 08:30 - 02.01.2022 08:45","11946","11118"
"02.01.2022 08:45 - 02.01.2022 09:00","12063","11239"
"02.01.2022 09:00 - 02.01.2022 09:15","12309","11382"
"02.01.2022 09:15 - 02.01.2022 09:30","12450","11562"
"02.01.2022 09:30 - 02.01.2022 09:45","12578","11632"
"02.01.2022 09:45 - 02.01.2022 10:00","12660","11717"
"02.01.2022 10:00 - 02.01.2022 10:15","12736","11651"
"02.01.2022 10:15 - 02.01.2022 10:30","12781","11591"
"02.01.2022 10:30 - 02.01.2022 10:45","12801","11559"
"02.01.2022 10:45 - 02.01.2022 11:00","12814","11569"
"02.01.2022 11:00 - 02.01.2022 11:15","12824","11722"
"02.01.2022 11:15 - 02.01.2022 11:30","12819","11810"
"02.01.2022 11:30 - 02.01.2022 11:45","12822","11943"
"02.01.2022 11:45 - 02.01.2022 12:00","12905","12058"
"02.01.2022 12:00 - 02.01.2022 12:15","12929","12187"
"02.01.2022 12:15 - 02.01.2022 12:30","12968","12207"
"02.01.2022 12:30 - 02.01.2022 12:45","12984","12194"
"02.01.2022 12:45 - 02.01.2022 13:00","12994","12141"
"02.01.2022 13:00 - 02.01.2022 13:15","13005","12043"
"02.01.2022 13:15 - 02.01.2022 13:30","12988","11984"
"02.01.2022 13:30 - 02.01.2022 13:45","12965","11925"
"02.01.2022 13:45 - 02.01.2022 14:00","12986","11895"
"02.01.2022 14:00 - 02.01.2022 14:15","12957","11856"
"02.01.2022 14:15 - 02.01.2022 14:30","12968","11863"
"02.01.2022 14:30 - 02.01.2022 14:45","12984","11945"
"02.01.2022 14:45 - 02.01.2022 15:00","13047","12029"
"02.01.2022 15:00 - 02.01.2022 15:15","13089","12082"
"02.01.2022 15:15 - 02.01.2022 15:30","13107","12195"
"02.01.2022 15:30 - 02.01.2022 15:45","13110","12224"
"02.01.2022 15:45 - 02.01.2022 16:00","13144","12276"
"02.01.2022 16:00 - 02.01.2022 16:15","13214","12293"
"02.01.2022 16:15 - 02.01.2022 16:30","13376","12496"
"02.01.2022 16:30 - 02.01.2022 16:45","13634","12738"
"02.01.2022 16:45 - 02.01.2022 17:00","13963","13139"
"02.01.2022 17:00 - 02.01.2022 17:15","14120","13410"
"02.01.2022 17:15 - 02.01.2022 17:30","14318","13733"
"02.01.2022 17:30 - 02.01.2022 17:45","14529","13960"
"02.01.2022 17:45 - 02.01.2022 18:00","14564","13998"
"02.01.2022 18:00 - 02.01.2022 18:15","14477","13896"
"02.01.2022 18:15 - 02.01.2022 18:30","14307","13710"
"02.01.2022 18:30 - 02.01.2022 18:45","14147","13543"
"02.01.2022 18:45 - 02.01.2022 19:00","14021","13475"
"02.01.2022 19:00 - 02.01.2022 19:15","13906","13393"
"02.01.2022 19:15 - 02.01.2022 19:30","13801","13236"
"02.01.2022 19:30 - 02.01.2022 19:45","13658","13192"
"02.01.2022 19:45 - 02.01.2022 20:00","13548","13164"
"02.01.2022 20:00 - 02.01.2022 20:15","13388","12985"
"02.01.2022 20:15 - 02.01.2022 20:30","13269","12916"
"02.01.2022 20:30 - 02.01.2022 20:45","13086","12732"
"02.01.2022 20:45 - 02.01.2022 21:00","12920","12579"
"02.01.2022 21:00 - 02.01.2022 21:15","12799","12478"
"02.01.2022 21:15 - 02.01.2022 21:30","12718","12354"
"02.01.2022 21:30 - 02.01.2022 21:45","12553","12206"
"02.01.2022 21:45 - 02.01.2022 22:00","12441","12062"
"02.01.2022 22:00 - 02.01.2022 22:15","12283","11992"
"02.01.2022 22:15 - 02.01.2022 22:30","12171","11915"
"02.01.2022 22:30 - 02.01.2022 22:45","12014","11815"
"02.01.2022 22:45 - 02.01.2022 23:00","11866","11633"
"02.01.2022 23:00 - 02.01.2022 23:15","11736","11479"
"02.01.2022 23:15 - 02.01.2022 23:30","11604","11343"
"02.01.2022 23:30 - 02.01.2022 23:45","11422","11159"
"02.01.2022 23:45 - 03.01.2022 00:00","11254","10990"
"03.01.2022 00:00 - 03.01.2022 00:15","11165","10974"
"03.01.2022 00:15 - 03.01.2022 00:30","11024","10865"
"03.01.2022 00:30 - 03.01.2022 00:45","10895","10766"
"03.01.2022 00:45 - 03.01.2022 01:00","10789","10644"
"03.01.2022 01:00 - 03.01.2022 01:15","10766","10525"
"03.01.2022 01:15 - 03.01.2022 01:30","10706","10477"
"03.01.2022 01:30 - 03.01.2022 01:45","10645","10356"
"03.01.2022 01:45 - 03.01.2022 02:00","10562","10285"
"03.01.2022 02:00 - 03.01.2022 02:15","10528","10274"
"03.01.2022 02:15 - 03.01.2022 02:30","10488","10268"
"03.01.2022 02:30 - 03.01.2022 02:45","10471","10214"
"03.01.2022 02:45 - 03.01.2022 03:00","10448","10163"
"03.01.2022 03:00 - 03.01.2022 03:15","10443","10161"
"03.01.2022 03:15 - 03.01.2022 03:30","10474","10139"
"03.01.2022 03:30 - 03.01.2022 03:45","10487","10119"
"03.01.2022 03:45 - 03.01.2022 04:00","10481","10145"
"03.01.2022 04:00 - 03.01.2022 04:15","10519","10089"
"03.01.2022 04:15 - 03.01.2022 04:30","10575","10076"
"03.01.2022 04:30 - 03.01.2022 04:45","10619","10185"
"03.01.2022 04:45 - 03.01.2022 05:00","10700","10286"
"03.01.2022 05:00 - 03.01.2022 05:15","10855","10441"
"03.01.2022 05:15 - 03.01.2022 05:30","10971","10634"
"03.01.2022 05:30 - 03.01.2022 05:45","11154","10769"
"03.01.2022 05:45 - 03.01.2022 06:00","11338","10991"
"03.01.2022 06:00 - 03.01.2022 06:15","11650","11346"
"03.01.2022 06:15 - 03.01.2022 06:30","11939","11636"
"03.01.2022 06:30 - 03.01.2022 06:45","12265","11786"
"03.01.2022 06:45 - 03.01.2022 07:00","12581","12014"
"03.01.2022 07:00 - 03.01.2022 07:15","13015","12368"
"03.01.2022 07:15 - 03.01.2022 07:30","13445","12774"
"03.01.2022 07:30 - 03.01.2022 07:45","13810","13067"
"03.01.2022 07:45 - 03.01.2022 08:00","14155","13309"
"03.01.2022 08:00 - 03.01.2022 08:15","14536","13628"
"03.01.2022 08:15 - 03.01.2022 08:30","14858","14012"
"03.01.2022 08:30 - 03.01.2022 08:45","14977","14211"
"03.01.2022 08:45 - 03.01.2022 09:00","15099","14344"
"03.01.2022 09:00 - 03.01.2022 09:15","15209","14462"
"03.01.2022 09:15 - 03.01.2022 09:30","15270","14545"
"03.01.2022 09:30 - 03.01.2022 09:45","15246","14545"
"03.01.2022 09:45 - 03.01.2022 10:00","15269","14534"
"03.01.2022 10:00 - 03.01.2022 10:15","15188","14487"
"03.01.2022 10:15 - 03.01.2022 10:30","15124","14357"
"03.01.2022 10:30 - 03.01.2022 10:45","15095","14275"
"03.01.2022 10:45 - 03.01.2022 11:00","15031","14234"
"03.01.2022 11:00 - 03.01.2022 11:15","14993","14009"
"03.01.2022 11:15 - 03.01.2022 11:30","14938","13858"
"03.01.2022 11:30 - 03.01.2022 11:45","14858","13869"
"03.01.2022 11:45 - 03.01.2022 12:00","14853","13860"
"03.01.2022 12:00 - 03.01.2022 12:15","14823","13877"
"03.01.2022 12:15 - 03.01.2022 12:30","14781","13898"
"03.01.2022 12:30 - 03.01.2022 12:45","14685","13955"
"03.01.2022 12:45 - 03.01.2022 13:00","14641","13957"
"03.01.2022 13:00 - 03.01.2022 13:15","14670","14044"
"03.01.2022 13:15 - 03.01.2022 13:30","14677","14028"
"03.01.2022 13:30 - 03.01.2022 13:45","14689","14032"
"03.01.2022 13:45 - 03.01.2022 14:00","14694","14070"
"03.01.2022 14:00 - 03.01.2022 14:15","14726","14122"
"03.01.2022 14:15 - 03.01.2022 14:30","14770","14232"
"03.01.2022 14:30 - 03.01.2022 14:45","14785","14332"
