"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"15.01.2022 02:45 - 15.01.2022 03:00","11277","11097"
"15.01.2022 03:00 - 15.01.2022 03:15","11217","11077"
"15.01.2022 03:15 - 15.01.2022 03:30","11172","11014"
"15.01.2022 03:30 - 15.01.2022 03:45","11098","11006"
"15.01.2022 03:45 - 15.01.2022 04:00","11055","10955"
"15.01.2022 04:00 - 15.01.2022 04:15","11023","10925"
"15.01.2022 04:15 - 15.01.2022 04:30","11010","10956"
"15.01.2022 04:30 - 15.01.2022 04:45","11021","10941"
"15.01.2022 04:45 - 15.01.2022 05:00","11010","10981"
"15.01.2022 05:00 - 15.01.2022 05:15","11032","10994"
"15.01.2022 05:15 - 15.01.2022 05:30","11084","11034"
"15.01.2022 05:30 - 15.01.2022 05:45","11166","11045"
"15.01.2022 05:45 - 15.01.2022 06:00","11258","11135"
"15.01.2022 06:00 - 15.01.2022 06:15","11352","11279"
"15.01.2022 06:15 - 15.01.2022 06:30","11491","11330"
"15.01.2022 06:30 - 15.01.2022 06:45","11554","11479"
"15.01.2022 06:45 - 15.01.2022 07:00","11605","11625"
"15.01.2022 07:00 - 15.01.2022 07:15","11723","11812"
"15.01.2022 07:15 - 15.01.2022 07:30","11876","12022"
"15.01.2022 07:30 - 15.01.2022 07:45","11994","12177"
"15.01.2022 07:45 - 15.01.2022 08:00","12090","12459"
"15.01.2022 08:00 - 15.01.2022 08:15","12223","12720"
"15.01.2022 08:15 - 15.01.2022 08:30","12385","12934"
"15.01.2022 08:30 - 15.01.2022 08:45","12525","13134"
"15.01.2022 08:45 - 15.01.2022 09:00","12604","13373"
"15.01.2022 09:00 - 15.01.2022 09:15","12691","13616"
"15.01.2022 09:15 - 15.01.2022 09:30","12735","13792"
"15.01.2022 09:30 - 15.01.2022 09:45","12775","13940"
"15.01.2022 09:45 - 15.01.2022 10:00","12719","14064"
"15.01.2022 10:00 - 15.01.2022 10:15","12612","14099"
"15.01.2022 10:15 - 15.01.2022 10:30","12468","14093"
"15.01.2022 10:30 - 15.01.2022 10:45","12350","14129"
"15.01.2022 10:45 - 15.01.2022 11:00","12214","14138"
"15.01.2022 11:00 - 15.01.2022 11:15","12097","14099"
"15.01.2022 11:15 - 15.01.2022 11:30","11887","14077"
"15.01.2022 11:30 - 15.01.2022 11:45","11716","14130"
"15.01.2022 11:45 - 15.01.2022 12:00","11643","14206"
"15.01.2022 12:00 - 15.01.2022 12:15","11548","14186"
"15.01.2022 12:15 - 15.01.2022 12:30","11476","14133"
"15.01.2022 12:30 - 15.01.2022 12:45","11419","14098"
"15.01.2022 12:45 - 15.01.2022 13:00","11403","14023"
"15.01.2022 13:00 - 15.01.2022 13:15","11391","13981"
"15.01.2022 13:15 - 15.01.2022 13:30","11409","13943"
"15.01.2022 13:30 - 15.01.2022 13:45","11442","13924"
"15.01.2022 13:45 - 15.01.2022 14:00","11484","13938"
"15.01.2022 14:00 - 15.01.2022 14:15","11550","13888"
"15.01.2022 14:15 - 15.01.2022 14:30","11607","13917"
"15.01.2022 14:30 - 15.01.2022 14:45","11735","13864"
"15.01.2022 14:45 - 15.01.2022 15:00","11886","13908"
"15.01.2022 15:00 - 15.01.2022 15:15","11955","13883"
"15.01.2022 15:15 - 15.01.2022 15:30","11999","13891"
"15.01.2022 15:30 - 15.01.2022 15:45","12115","13937"
"15.01.2022 15:45 - 15.01.2022 16:00","12234","13958"
"15.01.2022 16:00 - 15.01.2022 16:15","12287","14036"
"15.01.2022 16:15 - 15.01.2022 16:30","12328","14117"
"15.01.2022 16:30 - 15.01.2022 16:45","12464","14249"
"15.01.2022 16:45 - 15.01.2022 17:00","12603","14555"
"15.01.2022 17:00 - 15.01.2022 17:15","12803","14730"
"15.01.2022 17:15 - 15.01.2022 17:30","12978","15055"
"15.01.2022 17:30 - 15.01.2022 17:45","13179","15231"
"15.01.2022 17:45 - 15.01.2022 18:00","13277","15310"
"15.01.2022 18:00 - 15.01.2022 18:15","13236","15228"
"15.01.2022 18:15 - 15.01.2022 18:30","13093","15052"
"15.01.2022 18:30 - 15.01.2022 18:45","12961","14878"
"15.01.2022 18:45 - 15.01.2022 19:00","12818","14709"
"15.01.2022 19:00 - 15.01.2022 19:15","12736","14530"
"15.01.2022 19:15 - 15.01.2022 19:30","12687","14370"
"15.01.2022 19:30 - 15.01.2022 19:45","12566","14236"
"15.01.2022 19:45 - 15.01.2022 20:00","12486","14147"
"15.01.2022 20:00 - 15.01.2022 20:15","12453","13984"
"15.01.2022 20:15 - 15.01.2022 20:30","12315","13844"
"15.01.2022 20:30 - 15.01.2022 20:45","12197","13622"
"15.01.2022 20:45 - 15.01.2022 21:00","12095","13493"
"15.01.2022 21:00 - 15.01.2022 21:15","12097","13318"
"15.01.2022 21:15 - 15.01.2022 21:30","12196","13232"
"15.01.2022 21:30 - 15.01.2022 21:45","12198","13146"
"15.01.2022 21:45 - 15.01.2022 22:00","12074","12959"
"15.01.2022 22:00 - 15.01.2022 22:15","11986","12825"
"15.01.2022 22:15 - 15.01.2022 22:30","11917","12648"
"15.01.2022 22:30 - 15.01.2022 22:45","11844","12559"
"15.01.2022 22:45 - 15.01.2022 23:00","11757","12400"
"15.01.2022 23:00 - 15.01.2022 23:15","11670","12231"
"15.01.2022 23:15 - 15.01.2022 23:30","11638","12092"
"15.01.2022 23:30 - 15.01.2022 23:45","11603","11942"
"15.01.2022 23:45 - 16.01.2022 00:00","11497","11722"
"16.01.2022 00:00 - 16.01.2022 00:15","11453","11599"
"16.01.2022 00:15 - 16.01.2022 00:30","11364","11406"
"16.01.2022 00:30 - 16.01.2022 00:45","11223","11260"
"16.01.2022 00:45 - 16.01.2022 01:00","11057","11145"
"16.01.2022 01:00 - 16.01.2022 01:15","10986","11064"
"16.01.2022 01:15 - 16.01.2022 01:30","10966","11055"
"16.01.2022 01:30 - 16.01.2022 01:45","10898","10925"
"16.01.2022 01:45 - 16.01.2022 02:00","10812","10897"
"16.01.2022 02:00 - 16.01.2022 02:15","10757","10900"
"16.01.2022 02:15 - 16.01.2022 02:30","10733","10863"
"16.01.2022 02:30 - 16.01.2022 02:45","10712","10829"
"16.01.2022 02:45 - 16.01.2022 03:00","10660","10767"
"16.01.2022 03:00 - 16.01.2022 03:15","10627","10770"
"16.01.2022 03:15 - 16.01.2022 03:30","10615","10799"
"16.01.2022 03:30 - 16.01.2022 03:45","10577","10748"
"16.01.2022 03:45 - 16.01.2022 04:00","10524","10675"
"16.01.2022 04:00 - 16.01.2022 04:15","10499","10671"
"16.01.2022 04:15 - 16.01.2022 04:30","10501","10687"
"16.01.2022 04:30 - 16.01.2022 04:45","10509","10672"
"16.01.2022 04:45 - 16.01.2022 05:00","10526","10660"
"16.01.2022 05:00 - 16.01.2022 05:15","10541","10669"
"16.01.2022 05:15 - 16.01.2022 05:30","10600","10676"
"16.01.2022 05:30 - 16.01.2022 05:45","10652","10671"
"16.01.2022 05:45 - 16.01.2022 06:00","10673","10708"
"16.01.2022 06:00 - 16.01.2022 06:15","10705","10798"
"16.01.2022 06:15 - 16.01.2022 06:30","10780","10872"
"16.01.2022 06:30 - 16.01.2022 06:45","10845","10905"
"16.01.2022 06:45 - 16.01.2022 07:00","10927","10938"
"16.01.2022 07:00 - 16.01.2022 07:15","11032","11079"
"16.01.2022 07:15 - 16.01.2022 07:30","11138","11215"
"16.01.2022 07:30 - 16.01.2022 07:45","11261","11338"
"16.01.2022 07:45 - 16.01.2022 08:00","11429","11457"
"16.01.2022 08:00 - 16.01.2022 08:15","11619","11577"
"16.01.2022 08:15 - 16.01.2022 08:30","11784","11762"
"16.01.2022 08:30 - 16.01.2022 08:45","11924","11898"
"16.01.2022 08:45 - 16.01.2022 09:00","12033","12008"
"16.01.2022 09:00 - 16.01.2022 09:15","12118","12210"
"16.01.2022 09:15 - 16.01.2022 09:30","12212","12346"
"16.01.2022 09:30 - 16.01.2022 09:45","12277","12507"
"16.01.2022 09:45 - 16.01.2022 10:00","12287","12635"
"16.01.2022 10:00 - 16.01.2022 10:15","12270","12675"
"16.01.2022 10:15 - 16.01.2022 10:30","12194","12667"
"16.01.2022 10:30 - 16.01.2022 10:45","12160","12667"
"16.01.2022 10:45 - 16.01.2022 11:00","12054","12746"
"16.01.2022 11:00 - 16.01.2022 11:15","11966","12803"
"16.01.2022 11:15 - 16.01.2022 11:30","11914","12832"
"16.01.2022 11:30 - 16.01.2022 11:45","11885","12922"
"16.01.2022 11:45 - 16.01.2022 12:00","11848","13016"
"16.01.2022 12:00 - 16.01.2022 12:15","11845","13110"
"16.01.2022 12:15 - 16.01.2022 12:30","11822","13099"
"16.01.2022 12:30 - 16.01.2022 12:45","11786","13131"
"16.01.2022 12:45 - 16.01.2022 13:00","11783","13104"
"16.01.2022 13:00 - 16.01.2022 13:15","11774","13161"
"16.01.2022 13:15 - 16.01.2022 13:30","11796","13180"
"16.01.2022 13:30 - 16.01.2022 13:45","11842","13128"
"16.01.2022 13:45 - 16.01.2022 14:00","11911","13131"
"16.01.2022 14:00 - 16.01.2022 14:15","11983","13078"
"16.01.2022 14:15 - 16.01.2022 14:30","12076","13096"
"16.01.2022 14:30 - 16.01.2022 14:45","12221","13078"
"16.01.2022 14:45 - 16.01.2022 15:00","12362","13101"
"16.01.2022 15:00 - 16.01.2022 15:15","12507","13130"
"16.01.2022 15:15 - 16.01.2022 15:30","12674","13181"
"16.01.2022 15:30 - 16.01.2022 15:45","12825","13193"
"16.01.2022 15:45 - 16.01.2022 16:00","12905","13218"
"16.01.2022 16:00 - 16.01.2022 16:15","12959","13253"
"16.01.2022 16:15 - 16.01.2022 16:30","13017","13318"
"16.01.2022 16:30 - 16.01.2022 16:45","13207","13567"
"16.01.2022 16:45 - 16.01.2022 17:00","13468","13837"
"16.01.2022 17:00 - 16.01.2022 17:15","13748","14161"
"16.01.2022 17:15 - 16.01.2022 17:30","13990","14580"
"16.01.2022 17:30 - 16.01.2022 17:45","14256","14821"
"16.01.2022 17:45 - 16.01.2022 18:00","14404","14920"
"16.01.2022 18:00 - 16.01.2022 18:15","14380","14838"
"16.01.2022 18:15 - 16.01.2022 18:30","14221","14718"
"16.01.2022 18:30 - 16.01.2022 18:45","14038","14531"
"16.01.2022 18:45 - 16.01.2022 19:00","13882","14400"
"16.01.2022 19:00 - 16.01.2022 19:15","13802","14318"
"16.01.2022 19:15 - 16.01.2022 19:30","13704","14187"
"16.01.2022 19:30 - 16.01.2022 19:45","13583","14009"
"16.01.2022 19:45 - 16.01.2022 20:00","13478","13917"
"16.01.2022 20:00 - 16.01.2022 20:15","13430","13749"
"16.01.2022 20:15 - 16.01.2022 20:30","13408","13586"
"16.01.2022 20:30 - 16.01.2022 20:45","13349","13357"
"16.01.2022 20:45 - 16.01.2022 21:00","13222","13221"
"16.01.2022 21:00 - 16.01.2022 21:15","13142","13073"
"16.01.2022 21:15 - 16.01.2022 21:30","13131","12954"
"16.01.2022 21:30 - 16.01.2022 21:45","13098","12849"
"16.01.2022 21:45 - 16.01.2022 22:00","13008","12670"
"16.01.2022 22:00 - 16.01.2022 22:15","12911","12514"
"16.01.2022 22:15 - 16.01.2022 22:30","12818","12352"
"16.01.2022 22:30 - 16.01.2022 22:45","12742","12178"
"16.01.2022 22:45 - 16.01.2022 23:00","12631","12025"
"16.01.2022 23:00 - 16.01.2022 23:15","12559","11887"
"16.01.2022 23:15 - 16.01.2022 23:30","12503","11744"
"16.01.2022 23:30 - 16.01.2022 23:45","12375","11568"
"16.01.2022 23:45 - 17.01.2022 00:00","12222","11393"
"17.01.2022 00:00 - 17.01.2022 00:15","11571","11335"
"17.01.2022 00:15 - 17.01.2022 00:30","11566","11289"
"17.01.2022 00:30 - 17.01.2022 00:45","11548","11193"
"17.01.2022 00:45 - 17.01.2022 01:00","11482","11117"
"17.01.2022 01:00 - 17.01.2022 01:15","11414","11017"
"17.01.2022 01:15 - 17.01.2022 01:30","11347","10958"
"17.01.2022 01:30 - 17.01.2022 01:45","11290","10907"
"17.01.2022 01:45 - 17.01.2022 02:00","11235","10815"
"17.01.2022 02:00 - 17.01.2022 02:15","11185","10793"
"17.01.2022 02:15 - 17.01.2022 02:30","11160","10737"
"17.01.2022 02:30 - 17.01.2022 02:45","11149","10692"
"17.01.2022 02:45 - 17.01.2022 03:00","11128","10672"
"17.01.2022 03:00 - 17.01.2022 03:15","11115","10689"
"17.01.2022 03:15 - 17.01.2022 03:30","11133","10688"
"17.01.2022 03:30 - 17.01.2022 03:45","11160","10695"
"17.01.2022 03:45 - 17.01.2022 04:00","11180","10714"
"17.01.2022 04:00 - 17.01.2022 04:15","11219","10739"
"17.01.2022 04:15 - 17.01.2022 04:30","11272","10827"
"17.01.2022 04:30 - 17.01.2022 04:45","11333","10838"
"17.01.2022 04:45 - 17.01.2022 05:00","11403","10899"
"17.01.2022 05:00 - 17.01.2022 05:15","11472","11069"
"17.01.2022 05:15 - 17.01.2022 05:30","11601","11171"
"17.01.2022 05:30 - 17.01.2022 05:45","11767","11366"
"17.01.2022 05:45 - 17.01.2022 06:00","11920","11592"
"17.01.2022 06:00 - 17.01.2022 06:15","12129","11893"
"17.01.2022 06:15 - 17.01.2022 06:30","12400","12250"
"17.01.2022 06:30 - 17.01.2022 06:45","12616","12590"
"17.01.2022 06:45 - 17.01.2022 07:00","12839","12974"
"17.01.2022 07:00 - 17.01.2022 07:15","13118","13482"
"17.01.2022 07:15 - 17.01.2022 07:30","13471","13893"
"17.01.2022 07:30 - 17.01.2022 07:45","13835","14351"
"17.01.2022 07:45 - 17.01.2022 08:00","14129","14772"
"17.01.2022 08:00 - 17.01.2022 08:15","14422","15098"
"17.01.2022 08:15 - 17.01.2022 08:30","14772","15358"
"17.01.2022 08:30 - 17.01.2022 08:45","15049","15474"
"17.01.2022 08:45 - 17.01.2022 09:00","15208","15658"
"17.01.2022 09:00 - 17.01.2022 09:15","15301","15760"
"17.01.2022 09:15 - 17.01.2022 09:30","15367","15780"
"17.01.2022 09:30 - 17.01.2022 09:45","15393","15742"
"17.01.2022 09:45 - 17.01.2022 10:00","15336","15662"
"17.01.2022 10:00 - 17.01.2022 10:15","15259","15591"
"17.01.2022 10:15 - 17.01.2022 10:30","15088","15489"
"17.01.2022 10:30 - 17.01.2022 10:45","14948","15442"
"17.01.2022 10:45 - 17.01.2022 11:00","14866","15330"
"17.01.2022 11:00 - 17.01.2022 11:15","14734","15207"
"17.01.2022 11:15 - 17.01.2022 11:30","14462","15108"
"17.01.2022 11:30 - 17.01.2022 11:45","14333","15078"
"17.01.2022 11:45 - 17.01.2022 12:00","14398","15091"
"17.01.2022 12:00 - 17.01.2022 12:15","14339","14997"
"17.01.2022 12:15 - 17.01.2022 12:30","14313","15004"
"17.01.2022 12:30 - 17.01.2022 12:45","14267","14879"
"17.01.2022 12:45 - 17.01.2022 13:00","14210","14816"
"17.01.2022 13:00 - 17.01.2022 13:15","14184","14846"
"17.01.2022 13:15 - 17.01.2022 13:30","14194","14804"
"17.01.2022 13:30 - 17.01.2022 13:45","14180","14787"
"17.01.2022 13:45 - 17.01.2022 14:00","14174","14684"
"17.01.2022 14:00 - 17.01.2022 14:15","14246","14593"
"17.01.2022 14:15 - 17.01.2022 14:30","14344","14586"
"17.01.2022 14:30 - 17.01.2022 14:45","14410","14574"
"17.01.2022 14:45 - 17.01.2022 15:00","14505","14585"
"17.01.2022 15:00 - 17.01.2022 15:15","14606","14627"
"17.01.2022 15:15 - 17.01.2022 15:30","14694","14734"
"17.01.2022 15:30 - 17.01.2022 15:45","14878","14889"
"17.01.2022 15:45 - 17.01.2022 16:00","15008","15117"
"17.01.2022 16:00 - 17.01.2022 16:15","15075","15216"
"17.01.2022 16:15 - 17.01.2022 16:30","15080","15398"
"17.01.2022 16:30 - 17.01.2022 16:45","15246","15598"
"17.01.2022 16:45 - 17.01.2022 17:00","15438","15893"
"17.01.2022 17:00 - 17.01.2022 17:15","15599","16019"
"17.01.2022 17:15 - 17.01.2022 17:30","15688","16425"
"17.01.2022 17:30 - 17.01.2022 17:45","15792","16624"
"17.01.2022 17:45 - 17.01.2022 18:00","15769","16663"
"17.01.2022 18:00 - 17.01.2022 18:15","15571","16423"
"17.01.2022 18:15 - 17.01.2022 18:30","15215","16201"
"17.01.2022 18:30 - 17.01.2022 18:45","14969","16055"
"17.01.2022 18:45 - 17.01.2022 19:00","14843","15931"
"17.01.2022 19:00 - 17.01.2022 19:15","14773","15798"
"17.01.2022 19:15 - 17.01.2022 19:30","14657","15641"
"17.01.2022 19:30 - 17.01.2022 19:45","14489","15429"
"17.01.2022 19:45 - 17.01.2022 20:00","14371","15329"
"17.01.2022 20:00 - 17.01.2022 20:15","14338","15104"
"17.01.2022 20:15 - 17.01.2022 20:30","14268","14921"
"17.01.2022 20:30 - 17.01.2022 20:45","14129","14713"
"17.01.2022 20:45 - 17.01.2022 21:00","13978","14484"
"17.01.2022 21:00 - 17.01.2022 21:15","13848","14251"
"17.01.2022 21:15 - 17.01.2022 21:30","13789","14125"
"17.01.2022 21:30 - 17.01.2022 21:45","13674","13930"
"17.01.2022 21:45 - 17.01.2022 22:00","13537","13720"
"17.01.2022 22:00 - 17.01.2022 22:15","13398","13465"
"17.01.2022 22:15 - 17.01.2022 22:30","13284","13261"
"17.01.2022 22:30 - 17.01.2022 22:45","13188","13049"
"17.01.2022 22:45 - 17.01.2022 23:00","13060","12850"
"17.01.2022 23:00 - 17.01.2022 23:15","12953","12733"
"17.01.2022 23:15 - 17.01.2022 23:30","12863","12599"
"17.01.2022 23:30 - 17.01.2022 23:45","12694","12386"
"17.01.2022 23:45 - 18.01.2022 00:00","12501","12133"
"18.01.2022 00:00 - 18.01.2022 00:15","12353","12020"
"18.01.2022 00:15 - 18.01.2022 00:30","12300","11927"
"18.01.2022 00:30 - 18.01.2022 00:45","12233","11808"
"18.01.2022 00:45 - 18.01.2022 01:00","12136","11645"
"18.01.2022 01:00 - 18.01.2022 01:15","12035","11588"
"18.01.2022 01:15 - 18.01.2022 01:30","11970","11546"
"18.01.2022 01:30 - 18.01.2022 01:45","11908","11451"
"18.01.2022 01:45 - 18.01.2022 02:00","11823","11354"
"18.01.2022 02:00 - 18.01.2022 02:15","11777","11298"
"18.01.2022 02:15 - 18.01.2022 02:30","11764","11317"
"18.01.2022 02:30 - 18.01.2022 02:45","11745","11275"
"18.01.2022 02:45 - 18.01.2022 03:00","11711","11244"
"18.01.2022 03:00 - 18.01.2022 03:15","11674","11222"
"18.01.2022 03:15 - 18.01.2022 03:30","11672","11227"
"18.01.2022 03:30 - 18.01.2022 03:45","11673","11184"
"18.01.2022 03:45 - 18.01.2022 04:00","11641","11196"
"18.01.2022 04:00 - 18.01.2022 04:15","11629","11217"
"18.01.2022 04:15 - 18.01.2022 04:30","11676","11259"
"18.01.2022 04:30 - 18.01.2022 04:45","11735","11307"
"18.01.2022 04:45 - 18.01.2022 05:00","11795","11402"
"18.01.2022 05:00 - 18.01.2022 05:15","11875","11482"
"18.01.2022 05:15 - 18.01.2022 05:30","11996","11584"
"18.01.2022 05:30 - 18.01.2022 05:45","12101","11795"
"18.01.2022 05:45 - 18.01.2022 06:00","12229","11927"
"18.01.2022 06:00 - 18.01.2022 06:15","12444","12242"
"18.01.2022 06:15 - 18.01.2022 06:30","12724","12627"
"18.01.2022 06:30 - 18.01.2022 06:45","12974","12958"
"18.01.2022 06:45 - 18.01.2022 07:00","13222","13338"
"18.01.2022 07:00 - 18.01.2022 07:15","13517","13918"
"18.01.2022 07:15 - 18.01.2022 07:30","13900","14395"
"18.01.2022 07:30 - 18.01.2022 07:45","14272","14835"
"18.01.2022 07:45 - 18.01.2022 08:00","14599","15145"
"18.01.2022 08:00 - 18.01.2022 08:15","14872","15534"
"18.01.2022 08:15 - 18.01.2022 08:30","15132","15793"
"18.01.2022 08:30 - 18.01.2022 08:45","15328","15962"
"18.01.2022 08:45 - 18.01.2022 09:00","15411","16125"
"18.01.2022 09:00 - 18.01.2022 09:15","15470","16214"
"18.01.2022 09:15 - 18.01.2022 09:30","15568","16196"
"18.01.2022 09:30 - 18.01.2022 09:45","15627","16159"
"18.01.2022 09:45 - 18.01.2022 10:00","15616","16094"
"18.01.2022 10:00 - 18.01.2022 10:15","15577","15977"
"18.01.2022 10:15 - 18.01.2022 10:30","15451","15889"
"18.01.2022 10:30 - 18.01.2022 10:45","15369","15813"
"18.01.2022 10:45 - 18.01.2022 11:00","15293","15716"
"18.01.2022 11:00 - 18.01.2022 11:15","15180","15572"
"18.01.2022 11:15 - 18.01.2022 11:30","15069","15462"
"18.01.2022 11:30 - 18.01.2022 11:45","15010","15362"
"18.01.2022 11:45 - 18.01.2022 12:00","15023","15300"
"18.01.2022 12:00 - 18.01.2022 12:15","14983","15251"
"18.01.2022 12:15 - 18.01.2022 12:30","14882","15140"
"18.01.2022 12:30 - 18.01.2022 12:45","14739","15034"
"18.01.2022 12:45 - 18.01.2022 13:00","14639","14954"
"18.01.2022 13:00 - 18.01.2022 13:15","14615","14967"
"18.01.2022 13:15 - 18.01.2022 13:30","14665","14930"
"18.01.2022 13:30 - 18.01.2022 13:45","14714","14880"
"18.01.2022 13:45 - 18.01.2022 14:00","14684","14845"
"18.01.2022 14:00 - 18.01.2022 14:15","14687","14864"
"18.01.2022 14:15 - 18.01.2022 14:30","14790","14912"
"18.01.2022 14:30 - 18.01.2022 14:45","14870","14950"
"18.01.2022 14:45 - 18.01.2022 15:00","14941","14942"
"18.01.2022 15:00 - 18.01.2022 15:15","14961","15021"
"18.01.2022 15:15 - 18.01.2022 15:30","14969","15142"
"18.01.2022 15:30 - 18.01.2022 15:45","15107","15303"
"18.01.2022 15:45 - 18.01.2022 16:00","15179","15411"
"18.01.2022 16:00 - 18.01.2022 16:15","15161","15566"
"18.01.2022 16:15 - 18.01.2022 16:30","15153","15753"
"18.01.2022 16:30 - 18.01.2022 16:45","15317","15923"
"18.01.2022 16:45 - 18.01.2022 17:00","15502","16185"
"18.01.2022 17:00 - 18.01.2022 17:15","15705","16293"
"18.01.2022 17:15 - 18.01.2022 17:30","15922","16646"
"18.01.2022 17:30 - 18.01.2022 17:45","16149","16797"
"18.01.2022 17:45 - 18.01.2022 18:00","16175","16793"
"18.01.2022 18:00 - 18.01.2022 18:15","16032","16580"
"18.01.2022 18:15 - 18.01.2022 18:30","15723","16440"
"18.01.2022 18:30 - 18.01.2022 18:45","15463","16242"
"18.01.2022 18:45 - 18.01.2022 19:00","15293","16087"
"18.01.2022 19:00 - 18.01.2022 19:15","15147","15926"
"18.01.2022 19:15 - 18.01.2022 19:30","15005","15818"
"18.01.2022 19:30 - 18.01.2022 19:45","14873","15664"
"18.01.2022 19:45 - 18.01.2022 20:00","14752","15549"
"18.01.2022 20:00 - 18.01.2022 20:15","14666","15308"
"18.01.2022 20:15 - 18.01.2022 20:30","14497","15056"
"18.01.2022 20:30 - 18.01.2022 20:45","14296","14893"
"18.01.2022 20:45 - 18.01.2022 21:00","14065","14671"
"18.01.2022 21:00 - 18.01.2022 21:15","13895","14476"
"18.01.2022 21:15 - 18.01.2022 21:30","13800","14327"
"18.01.2022 21:30 - 18.01.2022 21:45","13672","14123"
"18.01.2022 21:45 - 18.01.2022 22:00","13528","13947"
"18.01.2022 22:00 - 18.01.2022 22:15","13428","13694"
"18.01.2022 22:15 - 18.01.2022 22:30","13348","13515"
"18.01.2022 22:30 - 18.01.2022 22:45","13280","13261"
"18.01.2022 22:45 - 18.01.2022 23:00","13127","13067"
"18.01.2022 23:00 - 18.01.2022 23:15","13051","12871"
"18.01.2022 23:15 - 18.01.2022 23:30","12973","12713"
"18.01.2022 23:30 - 18.01.2022 23:45","12759","12469"
"18.01.2022 23:45 - 19.01.2022 00:00","12550","12287"
"19.01.2022 00:00 - 19.01.2022 00:15","12256","12176"
"19.01.2022 00:15 - 19.01.2022 00:30","12175","12048"
"19.01.2022 00:30 - 19.01.2022 00:45","12087","11929"
"19.01.2022 00:45 - 19.01.2022 01:00","11973","11781"
"19.01.2022 01:00 - 19.01.2022 01:15","11841","11636"
"19.01.2022 01:15 - 19.01.2022 01:30","11715","11563"
"19.01.2022 01:30 - 19.01.2022 01:45","11576","11479"
"19.01.2022 01:45 - 19.01.2022 02:00","11549","11372"
"19.01.2022 02:00 - 19.01.2022 02:15","11540","11345"
"19.01.2022 02:15 - 19.01.2022 02:30","11489","11254"
"19.01.2022 02:30 - 19.01.2022 02:45","11428","11195"
"19.01.2022 02:45 - 19.01.2022 03:00","11375","11178"
"19.01.2022 03:00 - 19.01.2022 03:15","11349","11207"
"19.01.2022 03:15 - 19.01.2022 03:30","11343","11188"
"19.01.2022 03:30 - 19.01.2022 03:45","11338","11155"
"19.01.2022 03:45 - 19.01.2022 04:00","11334","11149"
"19.01.2022 04:00 - 19.01.2022 04:15","11332","11172"
"19.01.2022 04:15 - 19.01.2022 04:30","11382","11242"
"19.01.2022 04:30 - 19.01.2022 04:45","11431","11276"
"19.01.2022 04:45 - 19.01.2022 05:00","11456","11315"
"19.01.2022 05:00 - 19.01.2022 05:15","11525","11442"
"19.01.2022 05:15 - 19.01.2022 05:30","11602","11570"
"19.01.2022 05:30 - 19.01.2022 05:45","11721","11731"
"19.01.2022 05:45 - 19.01.2022 06:00","11854","11930"
"19.01.2022 06:00 - 19.01.2022 06:15","12013","12290"
"19.01.2022 06:15 - 19.01.2022 06:30","12237","12646"
"19.01.2022 06:30 - 19.01.2022 06:45","12478","12954"
"19.01.2022 06:45 - 19.01.2022 07:00","12704","13364"
"19.01.2022 07:00 - 19.01.2022 07:15","12978","13902"
"19.01.2022 07:15 - 19.01.2022 07:30","13280","14382"
"19.01.2022 07:30 - 19.01.2022 07:45","13626","14861"
"19.01.2022 07:45 - 19.01.2022 08:00","13960","15288"
"19.01.2022 08:00 - 19.01.2022 08:15","14257","15656"
"19.01.2022 08:15 - 19.01.2022 08:30","14528","15830"
"19.01.2022 08:30 - 19.01.2022 08:45","14764","15982"
"19.01.2022 08:45 - 19.01.2022 09:00","14922","16197"
"19.01.2022 09:00 - 19.01.2022 09:15","15069","16349"
"19.01.2022 09:15 - 19.01.2022 09:30","15148","16423"
"19.01.2022 09:30 - 19.01.2022 09:45","15146","16466"
"19.01.2022 09:45 - 19.01.2022 10:00","15141","16482"
"19.01.2022 10:00 - 19.01.2022 10:15","15130","16448"
"19.01.2022 10:15 - 19.01.2022 10:30","15049","16430"
"19.01.2022 10:30 - 19.01.2022 10:45","14965","16414"
"19.01.2022 10:45 - 19.01.2022 11:00","14904","16410"
"19.01.2022 11:00 - 19.01.2022 11:15","14827","16335"
"19.01.2022 11:15 - 19.01.2022 11:30","14751","16280"
"19.01.2022 11:30 - 19.01.2022 11:45","14673","16207"
"19.01.2022 11:45 - 19.01.2022 12:00","14670","16075"
"19.01.2022 12:00 - 19.01.2022 12:15","14682","15968"
"19.01.2022 12:15 - 19.01.2022 12:30","14589","15891"
"19.01.2022 12:30 - 19.01.2022 12:45","14522","15860"
"19.01.2022 12:45 - 19.01.2022 13:00","14498","15850"
"19.01.2022 13:00 - 19.01.2022 13:15","14548","15928"
"19.01.2022 13:15 - 19.01.2022 13:30","14573","15986"
"19.01.2022 13:30 - 19.01.2022 13:45","14584","15977"
"19.01.2022 13:45 - 19.01.2022 14:00","14621","15992"
"19.01.2022 14:00 - 19.01.2022 14:15","14644","15973"
"19.01.2022 14:15 - 19.01.2022 14:30","14692","15958"
"19.01.2022 14:30 - 19.01.2022 14:45","14741","15948"
"19.01.2022 14:45 - 19.01.2022 15:00","14841","15968"
"19.01.2022 15:00 - 19.01.2022 15:15","14879","15961"
"19.01.2022 15:15 - 19.01.2022 15:30","14916","16001"
